feature,missing_ratio,mean,std,skew,kurtosis,outlier_ratio_iqr
X285,0.23292944747427388,0.27876205175149554,0.030367916081350775,0.18492206202377973,0.22194444060489804,0.006872640229005749
X286,0.23292944747427388,0.20452868085422504,0.05997600544620615,1.0327946116803728,1.5499597444057711,0.016669545690101917
X287,0.23292944747427388,0.02176343199942984,0.1466454159456498,-0.09263683428024,1.903500996547324,0.012190607802976088
X288,0.23292944747427388,0.08553203314518486,1.1822844251760571,22.279930537922603,577.047161266233,0.018952199985193593
X289,0.23292944747427388,157153.15919160328,13336418.888952276,10.755560556962337,509.9689697940306,0.19674012289317178
X29,0.233447671692619,-2136.359205485626,100321.63583656163,-1.1265782800012734,63.868976781291416,0.15603484440934778
X290,0.23292944747427388,3.190324763985124,1.2473814439538342,0.916060776575485,1.6742516454954535,0.023788959356414875
X291,0.23292944747427388,2.8193818526522496,1.1023398480491342,0.8349928778263054,1.8799601216893658,0.018643733188559584
X292,0.23292944747427388,0.010312364776708613,0.1178007350252927,-0.004364407433952678,-0.03635700013672194,0.004898452730548084
X293,0.23292944747427388,0.014031680893524178,0.15785001115927733,0.04376705231336704,-0.08470064328133642,0.003948374996915332
X294,0.23292944747427388,-0.0063157993117407924,0.04992310076760788,-0.1385352472736562,0.05079973548675065,0.005243935542778176
X295,0.23292944747427388,-0.006363249589553082,0.042782718347553275,-0.16770976564305057,0.05486069608690869,0.005034178121067048
X296,0.23292944747427388,0.008723021207313749,0.1471656953870763,-0.05022663686658006,0.7819103511766632,0.004552969918317992
X297,0.23292944747427388,0.013545617017655257,0.1973406461000774,-0.02442708627029763,0.04894760026418821,0.002961281247686499
X298,0.23292944747427388,0.011086472984951084,0.16394392481808917,-0.01934083510035157,0.40681992981595894,0.003701601559608124
X299,0.23292944747427388,0.05975971579440781,1.5005477664307394,-0.07468065957063479,-1.9648687983199515,0.0
X3,0.233447671692619,-0.03836309759319797,0.0855649642256903,-2.9438462235818537,9.042063149572332,0.09653776867457987
X30,0.233447671692619,-0.00026966769837941947,0.011641633742786065,-0.0794552419990152,1.3178438662542349,0.010241097648249143
X300,0.23292944747427388,0.0369874484946157,1.4969379572407036,-0.04271999589011733,-1.9671607928149852,0.0
X31,0.233447671692619,-0.00027212915889609574,0.0021816609407733145,0.08056544295770984,2.9882769644399922,0.03638674333094786
X32,0.233447671692619,-0.00027373718290699237,0.005600658261598766,-0.05854612829394493,2.942056695788963,0.03588085778446808
X33,0.233447671692619,0.003478024215533248,0.006899662357953485,3.3278940596913213,15.831999140959898,0.08877674407126816
X34,0.233447671692619,0.003447417684853449,0.0018738945752940863,1.0308642202257552,1.5489173935657488,0.024751375761912987
X35,0.233447671692619,0.003447417684853449,0.0018738945752940863,1.0308642202257552,1.5489173935657488,0.024751375761912987
X36,0.233447671692619,-1.8212874031452665e-06,2.458657607191271e-05,-25.3340655571912,942.8891200074678,0.10548330577696617
X37,0.233447671692619,0.9854998496485946,1.8681070358485465,247.70365225843622,61624.10718566335,0.035991905831256325
